"","Country name","Year","Life Ladder","Log GDP per capita","Social support","Healthy life expectancy at birth","Freedom to make life choices","Generosity","Perceptions of corruption","Positive affect","Negative affect","Confidence in national government","Democratic Quality","Delivery Quality","Standard deviation of ladder by country-year","Standard deviation/Mean of ladder by country-year","gini of household income reported in Gallup, by wp5-year"
"63","Cyprus",2018,6.27644300460815,NA,0.825573205947876,73.6999969482422,0.794215023517609,NA,0.848337233066559,0.750122487545013,0.298021137714386,0.352440446615219,NA,NA,2.12888503074646,0.339186549186707,0.448661059141159
"64","Czech Republic",2017,6.7895679473877,10.3922491073608,0.900968968868256,69.8000030517578,0.831785500049591,-0.178765177726746,0.866524994373322,0.738743960857391,0.226649791002274,0.34387081861496,0.993396639823914,0.985034346580505,1.69713449478149,0.249962076544762,0.282945662736893
"65","Czech Republic",2018,7.03416538238525,10.4194736480713,0.929163932800293,70.3000030517578,0.790132403373718,-0.294359624385834,0.851382255554199,0.713700115680695,0.178068101406097,0.420783311128616,NA,NA,1.67493367195129,0.238114058971405,0.254285722970963
"66","Denmark",2017,7.59370231628418,10.7511253356934,0.952100098133087,72.0999984741211,0.955416321754456,0.152028441429138,0.181147560477257,0.823667407035828,0.205775305628777,0.572353303432465,1.1904433965683,1.86886262893677,1.66807425022125,0.219665482640266,0.63081294298172
"67","Denmark",2018,7.64878559112549,10.75559425354,0.95821887254715,72.4000015258789,0.935437798500061,0.0155928526073694,0.15060743689537,0.821422636508942,0.20605280995369,0.632478475570679,NA,NA,1.65106010437012,0.215859115123749,0.479050666093826
"68","Dominican Republic",2017,5.60520267486572,9.58883571624756,0.89436811208725,65.5,0.855359017848969,-0.123324632644653,0.760489642620087,0.738943636417389,0.274745523929596,0.459901332855225,0.158870548009872,-0.397110551595688,3.24083709716797,0.578183770179749,0.48091322183609
"69","Dominican Republic",2018,5.43321561813354,9.62699794769287,0.861986339092255,65.8000030517578,0.866641581058502,-0.15095129609108,0.762273550033569,0.744871854782104,0.291403025388718,0.421771019697189,NA,NA,3.39545392990112,0.624943733215332,0.52009505033493
"70","Ecuador",2017,5.83951854705811,9.2669038772583,0.848941743373871,68.1999969482422,0.879128158092499,-0.170977935194969,0.733588755130768,0.829141974449158,0.314343482255936,0.640512883663177,-0.137001991271973,-0.655896365642548,2.69317531585693,0.461198180913925,0.413334310054779
"71","Ecuador",2018,6.12801027297974,9.27445507049561,0.851345002651215,68.5,0.869363725185394,-0.104021087288857,0.830743193626404,0.876474916934967,0.328171044588089,0.402085185050964,NA,NA,2.48578763008118,0.40564352273941,0.438511908054352
"72","Egypt",2017,3.92934417724609,9.26390075683594,0.638226389884949,61.4000015258789,0.592504799365997,-0.159880474209785,NA,0.539322555065155,0.414493799209595,NA,-1.33229267597198,-0.639170169830322,2.28986072540283,0.582759022712708,0.380814850330353
"73","Egypt",2018,4.00545072555542,9.29395961761475,0.758824050426483,61.7000007629395,0.681654453277588,-0.222929537296295,NA,0.492260754108429,0.285183787345886,NA,NA,NA,2.02060604095459,0.504464089870453,0.323928564786911
