Name,Condition,Price,Purchase Option,Shipping Cost
GUNDAM FIX FIGURATION METAL COMPOSITE WING GUNDAM ZERO EW Ver Figure BANDAI NEW,Brand New,$799.99,or Best Offer,+$15.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE MS-06S Char's Zaku II Gundam THEORIGIN ,Pre-Owned,$388.12,Buy It Now,+$20.00 shipping
FIX Figuration Metal Composite 1003 MRX-010 Psycho Gundam MK-II by,Pre-Owned,$249.00,or Best Offer,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE # 1002 Psycho · Gundam  Bandai About 285mm,Brand New,$270.00,Buy It Now,+$20.00 shipping
Used Gundam Fix Figuration Metal Composite #1005 Zplus Red Bandai EMS$15,Pre-Owned,$229.94,Buy It Now,+$20.00 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Wing Gundam Zero EW version Premium Bandai,Brand New,$654.90,or Best Offer,+$55.77 shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-0 UNICORN GUNDAM 02 BANSHEE BANDAI F/S,Brand New,$329.38,Buy It Now,Free Shipping
Used Bandai O GUNDAM FIX FIGURATION METAL COMPOSITE limited From Japan,Pre-Owned,$383.99,Buy It Now,+$20.00 shipping
Gundam Fix Figuration Metal Composite Wing Gundam Zero Snow White Prelude PB Jun,Brand New,$464.81,Buy It Now,+$29.80 shipping
Bandai Tamashii Nations Gundam Fix Figuration Metal Composite Rx-0 Banshee,Brand New,$217.21,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 Gundam 40th Anniversary Ver. ,Brand New,$283.43,or Best Offer,+$55.77 shipping
Gundam Fix Figuration Metal Composite Wing Gundam Zero Ew Version Premium Bandai,Brand New,$739.34,Buy It Now,Free Shipping
BANDAI METAL COMPOSITE FIX FIGURATION Gundam Wing Zero EW,Pre-Owned,$547.00,Buy It Now,Free Shipping
Bandai Spirits GUNDAM FIX FIGURATION METAL COMPOSITE #1003 Psycho Gundam Mk-2,Brand New,$355.00,or Best Offer,Free Shipping
GUNDAM FIX FUGURATION METAL COMPOSITE #1020 MS-06C ZAKUⅡ TYPE C Action Figure,Brand New,$274.55,Buy It Now,Free Shipping
[New] BANDAI METAL COMPOSITE GUNDAM FIX FIGURATION Unicorn Gundam Figure Japan,Brand New,$374.99,Buy It Now,Free Shipping
Bandai GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-02 Gundam 40th Anniversary,Brand New,$288.89,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE RX-78-2 GUNDAM Ver.Ka roll out color by,Brand New,$445.00,Buy It Now,Free Shipping
Bandai Tamashii Nations Gundam Fix Figuration Metal Composite Psycho Gundam,Brand New,$307.19,Buy It Now,Free Shipping
GUNDAM FIX FIGURATION METAL COMPOSITE Gundam MS-06S Char's Zaku 2 Figure JAPAN,Brand New,$624.00,Buy It Now,+$14.80 shipping
