Symbol,Date,Time,Open Time,Open Bid Price,Open Bid Size,Open Ask Price,Open Ask Size,High Bid Time,High Bid Price,High Bid Size,Ask Price at High Bid,Ask Size at High Bid,Low Ask Time,Bid Price at Low Ask,Bid Size at Low Ask,Low Ask Price,Low Ask Size,Close Time,Close Bid Price,Close Bid Size,Close Ask Price,Close Ask Size,Max. Spread,Min. Spread,NBBO Count
GLP,03/03/2014,15:52,15:51:56.009,38.52,1,38.75,1,15:51:56.050,38.53,1,38.75,1,15:51:56.009,38.52,1,38.75,1,15:51:56.050,38.53,1,38.75,1,0.23,0.22,2
GLP,03/03/2014,15:53,15:52:07.025,38.54,1,38.75,1,15:52:52.257,38.59,1,38.75,1,15:52:07.025,38.54,1,38.75,1,15:52:52.257,38.59,1,38.75,1,0.21,0.16,7
GLP,03/03/2014,15:55,15:54:19.648,38.59,1,38.75,1,15:54:25.515,38.68,1,38.75,1,15:54:19.648,38.59,1,38.75,1,15:54:46.860,38.67,1,38.75,1,0.16,0.07,9
GLP,03/03/2014,15:59,15:58:00.193,38.5,1,38.75,1,15:58:00.193,38.5,1,38.75,1,15:58:49.170,38.41,3,38.6,2,15:58:50.294,38.41,1,38.79,2,0.59,0.19,41
GLP,03/03/2014,16:00,15:59:05.568,38.41,1,38.6,1,15:59:54.392,38.46,4,38.89,4,15:59:14.360,38.44,2,38.59,2,15:59:59.892,38.46,1,38.75,4,0.46,0.15,50
GLP,03/03/2014,16:01,16:00:00.427,38.45,1,38.75,4,16:00:00.427,38.45,1,38.75,4,16:00:00.427,38.45,1,38.75,4,16:00:00.427,38.45,1,38.75,4,0.30,0.30,1
GLP,03/04/2014,09:31,09:30:00.094,37.67,1,39.22,7,09:30:01.367,38.69,1,39.21,1,09:30:57.328,38.69,1,39.2,1,09:30:58.309,38.69,1,39.2,50,1.55,0.51,5
GLP,03/04/2014,09:32,09:31:21.130,38.69,1,39.19,1,09:31:21.130,38.69,1,39.19,1,09:31:47.347,38.69,1,38.93,1,09:31:47.347,38.69,1,38.93,1,0.50,0.24,4
GLP,03/04/2014,09:33,09:32:10.153,38.69,1,38.93,2,09:32:10.153,38.69,1,38.93,2,09:32:10.153,38.69,1,38.93,2,09:32:10.153,38.69,1,38.93,2,0.24,0.24,1
GLP,03/04/2014,09:34,09:33:11.386,38.69,1,38.93,1,09:33:11.386,38.69,1,38.93,1,09:33:11.386,38.69,1,38.93,1,09:33:12.081,38.69,1,38.93,2,0.24,0.24,2
GLP,03/04/2014,09:36,09:35:11.007,38.69,1,38.93,1,09:35:11.007,38.69,1,38.93,1,09:35:50.792,38.69,1,38.92,1,09:35:50.792,38.69,1,38.92,1,0.24,0.23,3
GLP,03/04/2014,09:38,09:37:24.660,38.69,1,38.92,3,09:37:24.660,38.69,1,38.92,3,09:37:24.660,38.69,1,38.92,3,09:37:24.660,38.69,1,38.92,3,0.23,0.23,1
GLP,03/04/2014,09:45,09:44:11.259,38.69,1,38.92,2,09:44:11.259,38.69,1,38.92,2,09:44:11.259,38.69,1,38.92,2,09:44:11.259,38.69,1,38.92,2,0.23,0.23,1
GLP,03/04/2014,09:47,09:46:52.331,38.69,1,38.92,50,09:46:52.331,38.69,1,38.92,50,09:46:52.364,38.69,1,38.91,2,09:46:52.364,38.69,1,38.91,2,0.23,0.22,2
GLP,03/04/2014,09:49,09:48:10.083,38.69,1,38.91,50,09:48:10.083,38.69,1,38.91,50,09:48:55.964,38.69,1,38.9,1,09:48:55.964,38.69,1,38.9,1,0.22,0.21,2
GLP,03/04/2014,09:51,09:50:59.669,38.69,1,38.9,50,09:50:59.669,38.69,1,38.9,50,09:50:59.925,38.69,1,38.88,1,09:50:59.975,38.69,1,38.88,50,0.21,0.19,5
GLP,03/04/2014,09:52,09:51:00.009,38.69,1,38.87,1,09:51:00.009,38.69,1,38.87,1,09:51:00.009,38.69,1,38.87,1,09:51:00.009,38.69,1,38.87,1,0.18,0.18,1
GLP,03/04/2014,09:55,09:54:06.583,38.7,1,38.87,1,09:54:06.583,38.7,1,38.87,1,09:54:06.583,38.7,1,38.87,1,09:54:52.202,38.7,1,38.95,1,0.30,0.17,12
GLP,03/04/2014,09:56,09:55:07.633,38.69,1,38.95,1,09:55:07.633,38.69,1,38.95,1,09:55:07.633,38.69,1,38.95,1,09:55:22.349,38.69,1,38.95,2,0.26,0.26,2
GLP,03/04/2014,09:57,09:56:10.577,38.7,1,38.95,2,09:56:10.577,38.7,1,38.95,2,09:56:44.769,38.7,1,38.8,1,09:56:45.654,38.7,1,38.8,49,0.25,0.10,20
